feature,pearson_corr,spearman_corr,combined_corr
Vibration_X_wavelet_std,0.9236763728945085,0.9166295633622865,0.9201529681283975
Vibration_X_wavelet_max,0.921382544346862,0.917287366152145,0.9193349552495035
Vibration_X_wavelet_mean,0.9304723552271249,0.9067932420183141,0.9186327986227195
Vibration_Y_wavelet_mean,0.9139246620444772,0.8915892806296005,0.9027569713370389
Vibration_Y_wavelet_std,0.9024520549773598,0.8683826279737238,0.8854173414755417
Vibration_Y_wavelet_max,0.8979020692547653,0.8574257762498289,0.8776639227522971
Force_Y_abs_mean,0.7684180122124958,0.8675493343053099,0.8179836732589029
Force_X_freq_mean,0.6463818979250467,0.9237471201106968,0.7850645090178718
