component,explained_variance_ratio,cumulative_variance
PC1,0.8830565362937616,0.8830565362937616
PC2,0.08597370080690078,0.9690302371006624
PC3,0.025681051510255678,0.9947112886109181
PC4,0.004182454095501723,0.9988937427064198
PC5,0.000825573402172662,0.9997193161085925
