Model,R²,RMSE,MAE
BPNN (最优超参数),0.9579652243254275,5.598407762725811,4.416542412923819
普通BPNN,0.9261272365241227,7.421681848202772,5.663759199536326
随机森林,0.8009885435961386,17.881673912404512,14.729947578715477
