feature,pearson_corr,spearman_corr,combined_corr
Vibration_X_wavelet_std,0.923676372894509,0.9166295633622865,0.9201529681283978
Force_X_freq_mean,0.6463818979250449,0.9237471201106968,0.7850645090178708
Vibration_Z_abs_mean,0.6864493121410497,0.6859953802980733,0.6862223462195615
Vibration_Y_wavelet_scale_8_ratio,0.5911402524705104,0.7513605484749085,0.6712504004727095
Force_Y_wp_aaa_entropy,0.5418813175357956,0.7854933323507755,0.6636873249432855
Vibration_Z_freq_mean,0.6247258862639865,0.6308186672412173,0.6277722767526019
Force_Z_peak2peak,0.4903900599183365,0.7526431295129279,0.6215165947156323
Force_Y_freq_kurtosis,0.5967341932567188,0.6398504953891866,0.6182923443229527
