feature,importance
PC1,0.7865097105628897
PC2,0.13058497285972498
PC3,0.031724251772491045
PC5,0.01382352769088171
PC4,0.011574972704188873
PC9,0.007524985581422965
PC7,0.0071400527891803305
PC8,0.00513391396825871
PC6,0.004298403593207694
PC10,0.0016852084777540211
