n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,mean_train_score,mean_test_score,std_test_score,rank_test_score
200,20,10,1,log2,True,0.9969519201636196,0.29634201064443305,0.4447197363840525,1
200,20,10,1,sqrt,True,0.9969519201636196,0.29634201064443305,0.4447197363840525,1
200,None,10,1,log2,True,0.9969498180798736,0.29633718016851823,0.4447139067827822,3
200,40,10,1,sqrt,True,0.9969498180798736,0.29633718016851823,0.4447139067827822,3
200,None,10,1,sqrt,True,0.9969498180798736,0.29633718016851823,0.4447139067827822,3
200,40,10,1,log2,True,0.9969498180798736,0.29633718016851823,0.4447139067827822,3
200,None,5,4,sqrt,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,None,5,4,log2,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,40,2,4,sqrt,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,40,5,4,sqrt,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,20,5,4,log2,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,20,2,4,log2,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,None,2,4,log2,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,20,2,4,sqrt,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,None,2,4,sqrt,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,40,5,4,log2,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,20,5,4,sqrt,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
200,40,2,4,log2,True,0.9949546466392531,0.2901316636267414,0.39388427921191393,7
300,20,10,4,sqrt,True,0.9943698842209475,0.29006389359913837,0.4189733215229857,19
300,None,10,4,sqrt,True,0.9943698842209475,0.29006389359913837,0.4189733215229857,19
300,40,10,4,log2,True,0.9943698842209475,0.29006389359913837,0.4189733215229857,19
300,None,10,4,log2,True,0.9943698842209475,0.29006389359913837,0.4189733215229857,19
300,40,10,4,sqrt,True,0.9943698842209475,0.29006389359913837,0.4189733215229857,19
300,20,10,4,log2,True,0.9943698842209475,0.29006389359913837,0.4189733215229857,19
100,40,5,4,sqrt,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,None,2,4,log2,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,40,5,4,log2,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,40,2,4,sqrt,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,None,5,4,sqrt,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,40,2,4,log2,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,20,5,4,sqrt,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,20,2,4,sqrt,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,None,2,4,sqrt,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,20,2,4,log2,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,None,5,4,log2,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
100,20,5,4,log2,True,0.9947823481824019,0.288852062858375,0.36596287028087937,25
300,20,10,1,log2,True,0.9969383172472375,0.28460350999062134,0.45973098577317933,37
300,20,10,1,sqrt,True,0.9969383172472375,0.28460350999062134,0.45973098577317933,37
300,None,10,1,log2,True,0.9969368059031651,0.28460062729855534,0.45972753716421594,39
300,40,10,1,sqrt,True,0.9969368059031651,0.28460062729855534,0.45972753716421594,39
300,None,10,1,sqrt,True,0.9969368059031651,0.28460062729855534,0.45972753716421594,39
300,40,10,1,log2,True,0.9969368059031651,0.28460062729855534,0.45972753716421594,39
200,20,10,4,sqrt,True,0.994459288797495,0.2763649558656892,0.426100356130462,43
200,None,10,4,log2,True,0.994459288797495,0.2763649558656892,0.426100356130462,43
200,20,10,4,log2,True,0.994459288797495,0.2763649558656892,0.426100356130462,43
200,40,10,4,sqrt,True,0.994459288797495,0.2763649558656892,0.426100356130462,43
200,None,10,4,sqrt,True,0.994459288797495,0.2763649558656892,0.426100356130462,43
200,40,10,4,log2,True,0.994459288797495,0.2763649558656892,0.426100356130462,43
300,None,2,4,log2,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,20,5,4,sqrt,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,40,2,4,log2,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,20,2,4,sqrt,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,None,2,4,sqrt,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,None,5,4,sqrt,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,40,5,4,log2,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,20,2,4,log2,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,40,5,4,sqrt,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,20,5,4,log2,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,40,2,4,sqrt,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,None,5,4,log2,True,0.9949239835940673,0.2685863832427703,0.4183568192570287,49
300,40,10,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,40,2,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,40,2,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,20,10,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,20,5,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,20,2,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,20,2,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,20,5,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,20,10,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,40,5,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,40,10,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
