cutter,n_features,avg_pearson_corr,avg_spearman_corr,avg_combined_corr
c1,8,0.637672411550744,0.760817279592509,0.6992448455716265
c4,8,0.6750721437811495,0.7805639752616218,0.7278180595213857
c6,8,0.6870968105316162,0.8189690090339128,0.7530329097827645
