feature,abs_pearson_corr,pearson_corr,abs_spearman_corr,spearman_corr
Force_Z_wavelet_max,0.9478140251042239,0.9478140251042239,0.9917938440392685,0.9917938440392685
Force_Z_wavelet_std,0.9457552344523366,0.9457552344523366,0.9914053051681044,0.9914053051681044
Force_X_wavelet_scale_1_ratio,0.7252016111830051,-0.7252016111830051,0.9911684193148355,-0.9911684193148355
Force_X_wavelet_scale_16_ratio,0.738708597533398,-0.738708597533398,0.9894676019242656,-0.9894676019242656
Force_Z_wavelet_scale_16_ratio,0.8719597304995874,-0.8719597304995874,0.9893324579690783,-0.9893324579690783
Force_X_wp_aad_energy,0.7029468003905297,-0.7029468003905297,0.987514157481101,-0.987514157481101
Force_X_wp_aad_std,0.8119666651769011,-0.8119666651769011,0.9874730767901776,-0.9874730767901776
Force_Z_wavelet_mean,0.9315337921776514,0.9315337921776514,0.9840084772117346,0.9840084772117346
Force_X_wp_ada_entropy,0.7327046253551093,-0.7327046253551093,0.9826247873978262,-0.9826247873978262
Force_X_wp_ada_energy,0.6878584994700122,-0.6878584994700122,0.9814269205223008,-0.9814269205223008
Force_X_wp_ada_std,0.7959016041772154,-0.7959016041772154,0.9813727861538876,-0.9813727861538876
Force_X_wp_daa_entropy,0.7004540177213271,-0.7004540177213271,0.9802735897229166,-0.9802735897229166
Force_X_wavelet_scale_8_ratio,0.6739059462853125,-0.6739059462853125,0.9784679589807384,-0.9784679589807384
Force_X_wp_daa_energy,0.6732477066130271,-0.6732477066130271,0.9782272338105605,-0.9782272338105605
Force_X_peak2peak,0.8580276229782252,-0.8580276229782252,0.9782022782506538,-0.9782022782506538
Force_X_wp_daa_std,0.7944333463270267,-0.7944333463270267,0.9781512153357675,-0.9781512153357675
Force_Z_wavelet_entropy,0.8319716199561736,-0.8319716199561736,0.977767283644894,-0.977767283644894
Vibration_Y_wavelet_scale_16_ratio,0.4420615377178637,-0.4420615377178637,0.9725738396624473,-0.9725738396624473
Vibration_Y_abs_mean,0.8061097839906799,0.8061097839906799,0.9663948430295283,0.9663948430295283
Vibration_Y_shape_factor,0.7977031018399936,-0.7977031018399936,0.9663948430295283,-0.9663948430295283
Force_X_clearance_factor,0.8200119696775701,-0.8200119696775701,0.9631559952853189,-0.9631559952853189
Force_X_impulse_factor,0.8148823710186084,-0.8148823710186084,0.9628012424029516,-0.9628012424029516
Force_X_wp_add_std,0.9342569544967867,-0.9342569544967867,0.9612374886260237,-0.9612374886260237
Force_X_wp_add_energy,0.7855036472181491,-0.7855036472181491,0.9609376379754515,-0.9609376379754515
Force_X_wp_add_entropy,0.873854505056018,-0.873854505056018,0.9582140265603944,-0.9582140265603944
Force_X_min,0.8281757431525362,0.8281757431525362,0.9561676706480383,0.9561676706480383
Force_X_peak,0.8306996158787243,-0.8306996158787243,0.9545712826773861,-0.9545712826773861
Force_X_crest,0.8306996158787242,-0.8306996158787242,0.9545712826773861,-0.9545712826773861
Vibration_Y_wavelet_scale_32_ratio,0.5386163044518337,0.5386163044518337,0.9542453246718344,0.9542453246718344
Force_X_wp_aad_entropy,0.7664349445308352,-0.7664349445308352,0.9525264624917935,-0.9525264624917935
Force_Y_skewness,0.8694964091927853,-0.8694964091927853,0.9502827656903284,-0.9502827656903284
Vibration_Y_kurtosis,0.8140492923806151,-0.8140492923806151,0.9465835838487616,-0.9465835838487616
Force_X_freq_std,0.8802007328409942,0.8802007328409942,0.9458598726114652,0.9458598726114652
Force_Z_wavelet_scale_8_ratio,0.6820925332889279,-0.6820925332889279,0.9436591761593779,-0.9436591761593779
Force_X_kurtosis,0.6513700165995449,-0.6513700165995449,0.9419925286892957,-0.9419925286892957
Vibration_X_wavelet_scale_32_ratio,0.9374672137019594,0.9374672137019594,0.8646825076882322,0.8646825076882322
Vibration_Y_freq_band_2_ratio,0.7006102595637724,-0.7006102595637724,0.9310466361824905,-0.9310466361824905
Force_X_wp_aaa_std,0.6954337688767311,0.6954337688767311,0.9299846811255342,0.9299846811255342
Force_X_max,0.8159753555746931,-0.8159753555746931,0.9294095514526056,-0.9294095514526056
Vibration_Y_wavelet_entropy,0.6237420480253837,-0.6237420480253837,0.9291135401189422,-0.9291135401189422
Force_X_wp_dad_std,0.9282677571770633,-0.9282677571770633,0.8882420919669973,-0.8882420919669973
Vibration_X_skewness,0.8727886007675704,0.8727886007675704,0.922354806632804,0.922354806632804
Vibration_Y_freq_band_1_ratio,0.6990606165962409,0.6990606165962409,0.921449879637415,0.921449879637415
Vibration_X_wavelet_scale_4_ratio,0.8373281729081798,0.8373281729081798,0.9202950131112673,0.9202950131112673
Vibration_X_wp_aaa_energy,0.8297421891793794,-0.8297421891793794,0.918607249398187,-0.918607249398187
Vibration_X_wp_daa_entropy,0.8546070081351675,0.8546070081351675,0.9183319703758308,0.9183319703758308
Vibration_X_wp_aad_std,0.8178776780679791,0.8178776780679791,0.9183204524251046,0.9183204524251046
Vibration_X_wp_aad_energy,0.830425152496916,0.830425152496916,0.9180797272549269,0.9180797272549269
Vibration_X_wp_aaa_std,0.8328196755838291,-0.8328196755838291,0.9178770113221456,-0.9178770113221456
Vibration_X_wp_aaa_entropy,0.8124493551708467,0.8124493551708467,0.9145371895432366,0.9145371895432366
Vibration_X_wp_daa_std,0.8377360894021416,0.8377360894021416,0.9143095180505484,0.9143095180505484
Force_X_freq_mean,0.874478742539883,-0.874478742539883,0.9140092834682855,-0.9140092834682855
Vibration_X_wp_daa_energy,0.848382855901584,0.848382855901584,0.9139616759386171,0.9139616759386171
