n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,mean_train_score,mean_test_score,std_test_score,rank_test_score
200,15,2,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,5,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,10,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,15,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,8,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,8,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,2,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,5,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,5,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,2,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,10,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,8,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,15,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,10,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,2,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,15,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,8,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,2,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,10,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,15,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,5,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,10,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,15,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,8,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,8,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,15,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,15,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,8,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,10,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,8,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,5,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,5,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,5,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,8,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,2,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,8,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,10,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,2,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,15,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,2,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,2,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,2,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,5,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,5,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,15,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,5,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,5,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,10,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,2,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,2,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,10,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,15,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,2,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,15,8,log2,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,8,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,5,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,10,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,None,5,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,45,8,8,sqrt,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,2,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,15,8,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,30,15,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
200,60,15,8,0.5,True,0.9676250826723521,-1.468674263071179,2.6801004585376833,1
