,random_forest,bpnn
均方误差 (MSE),941.1647599010851,109.59402612828079
均方根误差 (RMSE),30.678408692451523,10.4687165463719
平均绝对误差 (MAE),27.050167125098433,7.380018446539265
确定系数 (R²),0.41422963851885153,0.8530171848235942
