feature,pearson_corr,spearman_corr,combined_corr
Vibration_X_wavelet_mean,0.920437068790331,0.9572388400655757,0.9388379544279534
Force_X_wavelet_mean,0.7346116773310056,0.9664520488514684,0.8505318630912371
Force_Z_wavelet_entropy,0.7298926415537241,0.8053727400820847,0.7676326908179044
Vibration_Z_wavelet_scale_1_ratio,0.6387868247305875,0.8381232651086719,0.7384550449196297
Force_Z_wavelet_scale_1_ratio,0.6520119804291132,0.7926166096528107,0.722314295040962
Vibration_Y_wavelet_scale_8_ratio,0.5940348109093089,0.7576753703980988,0.6758550906537039
Force_Y_wp_add_std,0.6159653508656052,0.726478232992786,0.6712217919291956
Force_Y_impulse_factor,0.6110341296432548,0.7077949651198059,0.6594145473815303
