cutter,RandomForest_R2,RandomForest_MSE,Linear_R2,Linear_MSE
c1,-3.2399632810728294,599.9994056902193,-0.9826661192081501,280.5681121148818
c4,-2.515624721293027,3271.973765752031,-6.125728610789856,6631.878805254809
c6,-4.113717361824572,2261.820610849518,-4.138226506637263,2272.6611178563153
