n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_train_score,mean_test_score,std_test_score,rank_test_score
200,10,10,2,log2,0.942447661264835,-0.48462627705358646,1.0128255864357023,1
200,10,10,2,sqrt,0.942447661264835,-0.48462627705358646,1.0128255864357023,1
100,10,2,1,sqrt,0.9751242081707419,-0.4954766544793153,1.0563289958413393,3
100,10,2,1,log2,0.9751242081707419,-0.4954766544793153,1.0563289958413393,3
200,10,2,1,sqrt,0.9760195374110336,-0.49608287360272263,1.0784120197899925,5
200,10,2,1,log2,0.9760195374110336,-0.49608287360272263,1.0784120197899925,5
200,10,10,1,log2,0.9503580400712581,-0.4985932067414144,1.0749580913830254,7
200,10,10,1,sqrt,0.9503580400712581,-0.4985932067414144,1.0749580913830254,7
100,10,10,2,sqrt,0.9417989032141383,-0.5058600676228651,0.9852639081614801,9
100,10,10,2,log2,0.9417989032141383,-0.5058600676228651,0.9852639081614801,9
100,10,10,1,log2,0.9500322715084645,-0.5078397731792939,1.0740287297397053,11
100,10,10,1,sqrt,0.9500322715084645,-0.5078397731792939,1.0740287297397053,11
200,10,5,2,sqrt,0.9570208253191884,-0.510072968818371,1.0542448127366186,13
200,10,5,2,log2,0.9570208253191884,-0.510072968818371,1.0542448127366186,13
200,10,2,2,sqrt,0.9600883162550776,-0.512768688594991,0.9705620336782395,15
200,10,2,2,log2,0.9600883162550776,-0.512768688594991,0.9705620336782395,15
200,20,10,1,log2,0.9542900115483679,-0.5193249178616528,1.0474580966025717,17
200,20,10,1,sqrt,0.9542900115483679,-0.5193249178616528,1.0474580966025717,17
200,30,10,4,log2,0.9316310048358526,-0.5194003535724295,0.9924180964181022,19
200,None,10,4,sqrt,0.9316310048358526,-0.5194003535724295,0.9924180964181022,19
200,20,10,4,log2,0.9316310048358526,-0.5194003535724295,0.9924180964181022,19
200,None,10,4,log2,0.9316310048358526,-0.5194003535724295,0.9924180964181022,19
200,20,10,4,sqrt,0.9316310048358526,-0.5194003535724295,0.9924180964181022,19
200,30,10,4,sqrt,0.9316310048358526,-0.5194003535724295,0.9924180964181022,19
200,30,10,1,sqrt,0.9543176432022978,-0.5211122599338052,1.0467598238131175,25
200,None,10,1,sqrt,0.9543176432022978,-0.5211122599338052,1.0467598238131175,25
200,None,10,1,log2,0.9543176432022978,-0.5211122599338052,1.0467598238131175,25
200,30,10,1,log2,0.9543176432022978,-0.5211122599338052,1.0467598238131175,25
200,30,2,1,sqrt,0.9829181956786508,-0.521676374268002,1.0797708955774712,29
200,None,2,1,sqrt,0.9829181956786508,-0.521676374268002,1.0797708955774712,29
200,None,2,1,log2,0.9829181956786508,-0.521676374268002,1.0797708955774712,29
200,30,2,1,log2,0.9829181956786508,-0.521676374268002,1.0797708955774712,29
200,20,5,2,sqrt,0.9618492426048201,-0.5217492515494154,1.0442251537996523,33
200,20,5,2,log2,0.9618492426048201,-0.5217492515494154,1.0442251537996523,33
50,10,10,2,sqrt,0.9388195041440065,-0.5221974616394984,0.9759765252582518,35
50,10,10,2,log2,0.9388195041440065,-0.5221974616394984,0.9759765252582518,35
200,30,5,2,log2,0.9618317688827993,-0.5227656924723605,1.0508896734403896,37
200,None,5,2,sqrt,0.9618317688827993,-0.5227656924723605,1.0508896734403896,37
200,None,5,2,log2,0.9618317688827993,-0.5227656924723605,1.0508896734403896,37
200,30,5,2,sqrt,0.9618317688827993,-0.5227656924723605,1.0508896734403896,37
200,20,10,2,sqrt,0.9450517558027546,-0.5254537132564545,1.0209051867477885,41
