评估指标,随机森林,BP神经网络
R²,-0.049502844952743486,-310132842.9066747
MSE,1686.249694484146,498294421784.70435
RMSE,41.063970758855575,705899.7250209865
MAE,30.863230137202308,698650.0350612111
