,random_forest,random_forest_new,bpnn
均方误差 (MSE),930.9625432799859,970.2013234474615,109.59402612828079
均方根误差 (RMSE),30.51167880140301,31.148054890273027,10.4687165463719
平均绝对误差 (MAE),26.92456927967989,26.758733523629907,7.380018446539265
确定系数 (R²),0.4205793834016479,0.39615760793568466,0.8530171848235942
