component,explained_variance_ratio,cumulative_variance
PC1,0.8798012983780743,0.8798012983780743
PC2,0.08309610694295952,0.9628974053210339
PC3,0.030084677570542895,0.9929820828915767
PC4,0.005657959558329896,0.9986400424499067
PC5,0.001039954529864194,0.9996799969797708
