feature,pearson_corr,spearman_corr,combined_corr
Vibration_X_wavelet_std,0.8471248033184997,0.8569322096224634,0.8520285064704816
Vibration_X_wavelet_max,0.8480291008581271,0.8521142864927268,0.8500716936754269
Vibration_Y_wavelet_mean,0.857972851918467,0.8353831770327805,0.8466780144756237
Vibration_X_wavelet_mean,0.8307231965465107,0.8608647140004323,0.8457939552734715
Vibration_Y_wavelet_std,0.8563963775906754,0.7934522198174424,0.8249242987040589
Vibration_Y_wavelet_max,0.8563584400898644,0.7811163075206771,0.8187373738052708
Force_Y_abs_mean,0.7060151541732552,0.8857313768349118,0.7958732655040834
Force_X_freq_mean,0.6606028505697672,0.9016954308137257,0.7811491406917465
