feature,abs_pearson_corr,pearson_corr,abs_spearman_corr,spearman_corr
Force_Z_kurtosis,0.891430083704489,-0.891430083704489,0.993968047935962,-0.993968047935962
Force_Z_wp_aaa_entropy,0.8973842291341922,0.8973842291341922,0.9896545051814494,0.9896545051814494
Vibration_Y_wavelet_scale_16_ratio,0.9437168085730507,-0.9437168085730507,0.9884014926284382,-0.9884014926284382
Force_Z_abs_mean,0.8946801843746015,0.8946801843746015,0.9879360769942827,0.9879360769942827
Force_Z_shape_factor,0.8892433989917599,-0.8892433989917599,0.9879360769942827,-0.9879360769942827
Vibration_X_wavelet_scale_16_ratio,0.9378871621466995,-0.9378871621466995,0.9869537888819311,-0.9869537888819311
Force_X_wp_aad_energy,0.8429168037404151,-0.8429168037404151,0.9861750241079481,-0.9861750241079481
Force_X_wp_aad_std,0.889235043544075,-0.889235043544075,0.9861308633835852,-0.9861308633835852
Force_Z_wavelet_max,0.8281363091538516,-0.8281363091538516,0.9839143790268641,-0.9839143790268641
Force_Z_wavelet_std,0.826936134034952,-0.826936134034952,0.9835338287847452,-0.9835338287847452
Force_Z_wavelet_mean,0.8304026570611514,-0.8304026570611514,0.9830726372198766,-0.9830726372198766
Force_X_wp_ada_energy,0.8329628316266806,-0.8329628316266806,0.9812804798233387,-0.9812804798233387
Force_X_wp_ada_std,0.8817225866346481,-0.8817225866346481,0.9812689596343743,-0.9812689596343743
Force_X_wp_daa_entropy,0.8415623746795042,-0.8415623746795042,0.9808480887308806,-0.9808480887308806
Force_X_wp_ada_entropy,0.8505935432315753,-0.8505935432315753,0.980714838545194,-0.980714838545194
Force_X_wp_daa_energy,0.8306042479206329,-0.8306042479206329,0.9806699098082337,-0.9806699098082337
Force_X_wp_daa_std,0.8836213940944819,-0.8836213940944819,0.980578900315416,-0.980578900315416
Force_X_wavelet_scale_1_ratio,0.7817875954979259,-0.7817875954979259,0.9776635244948639,-0.9776635244948639
Force_X_wavelet_scale_8_ratio,0.7802255550065671,-0.7802255550065671,0.9760810345374753,-0.9760810345374753
Force_X_peak2peak,0.9198096251528287,-0.9198096251528287,0.9674051802285015,-0.9674051802285015
Force_X_wavelet_scale_16_ratio,0.706778839813348,-0.706778839813348,0.9633485376878915,-0.9633485376878915
Vibration_Z_wavelet_scale_16_ratio,0.8921243001981398,-0.8921243001981398,0.9611140050351265,-0.9611140050351265
Force_Y_wavelet_scale_32_ratio,0.9526786478737623,0.9526786478737623,0.9604458340752001,0.9604458340752001
Force_X_wp_aad_entropy,0.8672757868798928,-0.8672757868798928,0.9571126594015448,-0.9571126594015448
Force_Z_min,0.8519222307090746,0.8519222307090746,0.95093745411041,0.95093745411041
Force_Z_peak2peak,0.8599344567284561,-0.8599344567284561,0.9490308628368271,-0.9490308628368271
Force_Z_skewness,0.810819659578456,-0.810819659578456,0.9387886468350145,-0.9387886468350145
Force_Z_impulse_factor,0.8514431314152251,-0.8514431314152251,0.9382740783946114,-0.9382740783946114
Force_X_wavelet_entropy,0.779186856697544,-0.779186856697544,0.9375709628614938,-0.9375709628614938
Force_X_wp_aaa_std,0.8334951634025635,0.8334951634025635,0.9373532312900694,0.9373532312900694
Force_X_min,0.8479449587324384,0.8479449587324384,0.9358621348317971,0.9358621348317971
Force_Z_clearance_factor,0.8505374466324289,-0.8505374466324289,0.9357469329421547,-0.9357469329421547
Force_X_peak,0.89873175534222,-0.89873175534222,0.933007048000158,-0.933007048000158
Force_X_crest,0.8987317553422203,-0.8987317553422203,0.933007048000158,-0.933007048000158
Force_Z_wp_add_entropy,0.6874613638208649,-0.6874613638208649,0.931329324480665,-0.931329324480665
Force_X_clearance_factor,0.8967891704535368,-0.8967891704535368,0.9310927766005991,-0.9310927766005991
Force_X_impulse_factor,0.8944797495531086,-0.8944797495531086,0.9309291899173068,-0.9309291899173068
Vibration_Y_wp_ada_entropy,0.9003604682289472,-0.9003604682289472,0.9300475114552431,-0.9300475114552431
Vibration_Z_wavelet_scale_1_ratio,0.8739131838417135,0.8739131838417135,0.9281823928619316,0.9281823928619316
Force_Z_max,0.8456600289040385,-0.8456600289040385,0.9262903938277036,-0.9262903938277036
Force_Z_peak,0.8456600289040385,-0.8456600289040385,0.9262903938277036,-0.9262903938277036
Force_Z_crest,0.8456600289040384,-0.8456600289040384,0.9262903938277036,-0.9262903938277036
Vibration_Y_wp_ada_std,0.9083342531123942,-0.9083342531123942,0.9259901009020355,-0.9259901009020355
Vibration_Y_wp_ada_energy,0.8878540143109949,-0.8878540143109949,0.9259094595792859,-0.9259094595792859
Force_X_freq_std,0.882789402358288,0.882789402358288,0.9236760789454171,0.9236760789454171
Force_Z_wp_aad_entropy,0.8538764584435959,-0.8538764584435959,0.923409962580343,-0.923409962580343
Force_Z_wp_dad_entropy,0.6556809636388691,-0.6556809636388691,0.9229875556516541,-0.9229875556516541
Force_Z_wp_add_std,0.7818340620491677,-0.7818340620491677,0.9215855486547053,-0.9215855486547053
Force_Z_wp_add_energy,0.6347432291544709,-0.6347432291544709,0.9215356278358602,-0.9215356278358602
Force_Z_wp_aad_energy,0.7886426137723074,-0.7886426137723074,0.9209864988285644,-0.9209864988285644
Force_Z_wp_aad_std,0.8504601915501125,-0.8504601915501125,0.9207722233138295,-0.9207722233138295
Force_Y_wavelet_entropy,0.9157098613966399,-0.9157098613966399,0.8527220830957271,-0.8527220830957271
Vibration_X_wavelet_scale_32_ratio,0.9145276046250324,0.9145276046250324,0.8840274285934693,0.8840274285934693
