component,explained_variance_ratio,cumulative_variance
PC1,0.8515615679036116,0.8515615679036116
PC2,0.09346083153455093,0.9450223994381626
PC3,0.028697560211581735,0.9737199596497443
PC4,0.022070152048433392,0.9957901116981778
PC5,0.003134712654115938,0.9989248243522937
