feature,pearson_corr,spearman_corr,combined_corr
Vibration_X_wavelet_mean,0.9204370687903305,0.9572388400655757,0.938837954427953
Vibration_X_wavelet_std,0.9233316766806601,0.9535396582240089,0.9384356674523344
Vibration_X_wavelet_max,0.9055424858976909,0.9148996210594212,0.9102210534785561
Vibration_Y_wavelet_max,0.846633427546107,0.9510652184763287,0.8988493230112179
Vibration_Y_wavelet_mean,0.8357167411887712,0.9543900669192938,0.8950534040540326
Vibration_Y_wavelet_std,0.833572389739362,0.9483704019380873,0.8909713958387246
Force_X_freq_mean,0.7676342037766102,0.9433516468749882,0.8554929253257992
Force_Y_abs_mean,0.7417065724200064,0.8495755635157394,0.7956410679678729
