Feature,Importance
Force_Y_wp_ddd_std,0.0007871236650659297
Vibration_Z_wp_aaa_std,0.0007722943976381898
Force_Z_freq_std,0.0007651247998927502
Vibration_X_wp_dad_entropy,0.0007543740182010951
Vibration_Y_wp_dad_std,0.0007410674775535648
Vibration_Z_wavelet_scale_8_ratio,0.0007118983145630403
Force_Y_wavelet_max,0.000707919670888125
Vibration_X_wp_add_energy,0.0007078512266609003
Vibration_X_wp_add_std,0.000694833536885527
Vibration_X_freq_band_1_ratio,0.0006904548426890997
Vibration_Y_wp_aaa_std,0.0006848961651976965
Force_Y_wp_dad_entropy,0.0006785511839175777
Force_X_freq_mean,0.0006451263349911409
Vibration_Y_freq_max,0.0006431224105616461
Vibration_Z_kurtosis,0.0006415123115030423
Vibration_Z_skewness,0.0006366505905138485
Force_X_wp_dad_entropy,0.0006309109080962935
Vibration_Y_freq_band_2_ratio,0.0006153553209619574
Force_Z_impulse_factor,0.0006065512187540043
Vibration_X_wp_ddd_energy,0.0006055155435620187
Vibration_Y_wp_aad_entropy,0.0005994479566428482
Force_X_wp_ddd_std,0.0005978883235773137
Force_X_peak_freq,0.0005699194325826069
Force_Z_wavelet_scale_32_ratio,0.0005689934030996811
Vibration_X_wp_aaa_energy,0.0005645758088071335
Force_Y_wp_ada_energy,0.0005599503712692209
Force_Y_wp_ada_std,0.0005584568453177542
Vibration_X_freq_band_2_ratio,0.0005516965317559207
Force_Z_wp_aad_std,0.0005429905432664842
Force_Y_wavelet_scale_1_ratio,0.0005397875705463688
Force_X_wp_dad_energy,0.0005195523828628885
Vibration_Y_wp_ddd_std,0.0005172165583005514
Force_Y_wavelet_scale_8_ratio,0.0005075146237124056
Vibration_X_wp_aad_entropy,0.0005071694132647356
Force_Y_wp_add_std,0.0005013208398367921
Vibration_X_wp_aad_std,0.00048717000375651353
Force_Z_wp_daa_energy,0.00047276130123456424
Force_Y_wp_ddd_energy,0.0004524116346076251
Vibration_X_wavelet_scale_1_ratio,0.00045077915852326624
Vibration_X_wp_aaa_entropy,0.00044037534136229207
Force_Y_wp_aad_entropy,0.0004402275308217549
Vibration_Z_abs_mean,0.0004339908075168581
AE_RMS_wp_dad_entropy,0.000425930788626832
Force_Z_wp_ada_entropy,0.0004241703471063224
Force_Z_wp_add_energy,0.00042391361072311335
Vibration_X_wp_dad_energy,0.00042215929971611333
Force_Y_wp_add_entropy,0.00041978576494008913
Force_X_wp_add_std,0.000411988588194817
Force_Z_wp_add_entropy,0.0004059907411575113
Force_Z_wp_add_std,0.0004042955735096767
Vibration_X_wp_daa_entropy,0.0004007251511169193
Vibration_Z_shape_factor,0.0003901613998989332
Force_X_wavelet_mean,0.000379210827519522
Vibration_X_wavelet_scale_8_ratio,0.0003773416473153185
Force_Z_wavelet_scale_8_ratio,0.000374885850892267
Force_Y_wp_aad_std,0.000363625905554591
Vibration_X_wp_ddd_std,0.0003414116409948616
Vibration_Y_wp_dad_entropy,0.0003343193939006065
Force_Z_wp_aad_entropy,0.00033214313929005217
Force_Y_wp_dad_energy,0.0003278537417442285
Vibration_Y_wp_aad_energy,0.0003264448131245928
Force_X_wp_add_energy,0.00032402746100491833
AE_RMS_wp_aad_entropy,0.0003233597892941254
Force_Y_wp_daa_energy,0.0003224135579130761
Vibration_Y_wp_dad_energy,0.00032194575191264995
Force_Y_freq_band_1_ratio,0.0003121946453586591
Vibration_Z_wp_ddd_energy,0.00031007609149477796
Force_X_wp_aaa_entropy,0.00030221760913596343
Force_Z_min,0.0002967787231668046
Vibration_X_wp_ada_energy,0.00029530696481923303
Vibration_Y_wp_aaa_entropy,0.0002898714949871302
Force_Y_wp_ada_entropy,0.00028773619755330165
Vibration_X_wp_ada_std,0.0002866240438300279
AE_RMS_wp_add_energy,0.00028414825306466364
Force_Z_freq_mean,0.0002828521055444263
Vibration_Y_peak_magnitude,0.0002821298720407304
AE_RMS_wp_add_std,0.00027912590907058283
Force_X_wp_add_entropy,0.00027841478819839636
Vibration_Y_freq_kurtosis,0.0002676071989170713
AE_RMS_wavelet_max,0.0002660351753672295
Vibration_Z_freq_max,0.0002644133791606279
Vibration_Y_wp_ada_std,0.0002443551894515223
Vibration_X_wp_ddd_entropy,0.00024359742488079127
Vibration_Z_freq_band_1_ratio,0.00024139323011141572
AE_RMS_wp_add_entropy,0.0002379321382649553
Vibration_Y_freq_skewness,0.0002339903143294169
Vibration_Z_wp_aaa_entropy,0.00023377298929146514
Vibration_Y_wp_aad_std,0.00022872424294557162
Force_Y_wp_dda_entropy,0.000225510023410262
AE_RMS_wp_dad_energy,0.00022309491661714396
AE_RMS_wavelet_scale_8_ratio,0.00022134007326414377
Force_Z_wavelet_scale_1_ratio,0.00022025213143197597
AE_RMS_wp_ada_energy,0.0002176080487299785
Force_Z_wp_ada_std,0.00021421480361129313
AE_RMS_freq_mean,0.00021109869248464352
Vibration_Y_wp_aaa_energy,0.0002109757999153666
Force_Z_wp_dad_entropy,0.00020936974756565304
Vibration_Y_freq_std,0.0002067533972489796
