feature,pearson_corr,spearman_corr,combined_corr
Vibration_Z_wavelet_scale_16_ratio,0.8646158028603265,0.9506586266308867,0.9076372147456067
Vibration_X_wavelet_scale_8_ratio,0.6211424346823954,0.8546160556220709,0.7378792451522331
Force_Z_skewness,0.7270854417955028,0.7463978238874477,0.7367416328414753
Vibration_Y_freq_skewness,0.6844769948120563,0.7701169778708946,0.7272969863414754
Force_X_wp_aaa_std,0.5162782578832371,0.937727055017611,0.7270026564504241
Force_Y_wp_aad_entropy,0.6323299729182851,0.8099369953277864,0.7211334841230357
Vibration_X_peak_freq,0.7983012120332348,0.47417342718622796,0.6362373196097314
Force_Z_wp_daa_std,0.5563470332641588,0.7008848405500485,0.6286159369071036
